000630-000060,1.074173,0.346568,0.018593,:,1.678194,0.062971,4.709607
600837-000630,0.927768,0.278900,0.026073,:,1.774922,0.036815,4.023850
600104-000630,0.864934,0.664753,0.025523,:,1.723307,0.063111,2.792502
601377-000783,0.975239,0.012102,0.023048,:,1.665887,0.042088,2.985631
601377-000728,0.801243,0.407081,0.021659,:,1.440683,0.072548,2.814875
601377-002673,0.808986,0.178279,0.025658,:,1.595863,0.045363,3.286064
600900-000027,0.802743,0.464064,0.020525,:,1.641545,0.043728,3.320201
600219-000027,0.970992,-0.012811,0.012416,:,1.552776,0.044761,4.455223
601006-000027,0.823396,0.612360,0.019664,:,1.695436,0.057133,3.891930
601168-000027,0.727354,0.463413,0.024083,:,1.596875,0.059730,3.300672
601169-000027,0.738901,0.757113,0.023530,:,1.288295,0.049376,6.824597
000858-000027,0.710161,1.541033,0.025623,:,1.582576,0.078967,2.943737
600036-000027,0.788697,1.025996,0.025772,:,1.611791,0.039584,3.110590
601857-000027,1.204431,0.007316,0.026067,:,1.615271,0.082046,3.149735
002142-000027,1.020227,0.481527,0.022932,:,1.702935,0.030170,2.970492
600060-000027,0.717353,1.226920,0.025286,:,1.726492,0.055824,4.405035
600495-000528,0.861581,1.022788,0.029643,:,1.554038,0.038436,5.235430
600765-600495,1.099085,-0.316999,0.029058,:,1.652197,0.042951,3.233060
000783-000728,0.780211,0.499328,0.020593,:,1.703783,0.048478,3.529407
600900-000783,0.935284,-0.308454,0.025896,:,1.636235,0.038317,3.538092
600362-000783,0.777266,0.873774,0.027809,:,1.570611,0.059261,3.026368
601006-000783,0.906995,-0.060780,0.027630,:,1.776494,0.068044,3.496537
002673-000783,0.975833,0.317766,0.019598,:,1.715276,0.049258,3.106320
600547-600016,0.844433,1.136795,0.028235,:,1.555449,0.058511,2.736849
600104-600016,0.853041,0.886539,0.028205,:,1.774832,0.062845,3.795462
600016-000001,0.840388,-0.052599,0.027793,:,1.678326,0.058676,2.618129
600383-600018,0.840019,0.451762,0.028437,:,1.569530,0.063337,4.649064
600549-600111,0.909963,0.313098,0.025500,:,1.689237,0.038642,3.114097
600549-000878,0.887521,1.312054,0.029006,:,1.469288,0.055369,2.854844
600372-600118,0.975787,0.308848,0.025850,:,1.624389,0.037332,4.184749
002673-000728,0.786266,0.748240,0.021745,:,1.689644,0.088916,2.975381
601601-000338,0.903919,0.225567,0.025973,:,1.551667,0.093149,3.395871
000528-000338,0.941826,-0.928116,0.018697,:,1.627910,0.032340,3.479159
000338-000060,1.080239,0.990003,0.026350,:,1.508766,0.071749,2.941273
601628-000338,1.108217,-0.551227,0.027903,:,1.647105,0.091239,2.582778
600837-000338,0.911928,-0.281282,0.023514,:,1.628115,0.040414,4.978720
000425-000338,1.046568,-1.066212,0.022847,:,1.650285,0.057797,2.691495
600104-000338,0.855370,0.127288,0.023130,:,1.691254,0.049173,3.304530
000338-000001,0.888440,0.709686,0.023604,:,1.709210,0.036351,2.894562
600585-000338,0.928892,0.091776,0.025086,:,1.671952,0.045199,3.022450
601166-000338,1.136168,-1.032390,0.028631,:,1.722538,0.045660,3.194280
601601-601088,1.109060,-0.146153,0.026595,:,1.618337,0.072477,2.605976
601628-601601,1.159120,-0.635800,0.025947,:,1.712890,0.057030,3.718784
601601-600837,0.940638,0.625093,0.023411,:,1.589451,0.055523,3.164897
601336-600362,1.034771,0.379769,0.015993,:,1.665969,0.035914,3.741718
601628-601336,0.798070,0.203382,0.022051,:,1.604858,0.051855,3.054325
600141-000962,0.880802,0.485132,0.026068,:,1.687638,0.041169,3.270283
600900-600362,1.143243,-1.201039,0.023486,:,1.587001,0.056407,3.586864
601006-600900,0.875306,0.410432,0.019802,:,1.625598,0.050857,5.963874
601168-600900,0.733473,0.357433,0.025589,:,1.482761,0.107556,2.483344
600900-000858,0.925912,-0.717173,0.027022,:,1.851891,0.050096,3.811645
600900-600674,1.113075,-0.850270,0.025338,:,1.621661,0.039966,3.408057
601006-600362,1.136182,-0.999130,0.025819,:,1.611099,0.073257,4.460977
601168-600362,0.933480,-0.774549,0.019354,:,1.712414,0.050791,3.196375
601169-600362,0.832902,-0.195330,0.029264,:,1.103218,0.021882,6.847588
600362-600193,0.964899,0.823269,0.028790,:,1.864202,0.027100,3.332241
600362-000858,0.775826,0.516700,0.028441,:,1.574387,0.074206,3.194132
601628-600362,0.843473,0.459784,0.021989,:,1.647538,0.043667,2.839234
